,url,price,locali,superficie,bagni,piano
0,https://www.immobiliare.it/53131931-Vendita-Bilocale-viale-Italo-Calvino-Roma.html,225000,2,50.0,1.0,1.0
1,https://www.immobiliare.it/70479086-Vendita-Trilocale-via-Ignazio-Scimonelli-130-Roma.html,189000,3,79.0,1.0,1.0
2,https://www.immobiliare.it/68601391-Vendita-Attico-Mansarda-via-Nicolo-Piccolomini-Roma.html,1650000,6,220.0,3.0,4.0
3,https://www.immobiliare.it/67242549-Vendita-Appartamento-via-Luigi-Ungarelli-Roma.html,1050000,6,290.0,2.0,0.5
4,https://www.immobiliare.it/65564714-Vendita-Appartamento-via-Delle-Isole-Roma.html,1250000,5,185.0,3.0,0.0
5,https://www.immobiliare.it/70147844-Vendita-Trilocale-via-Mortara-5-Roma.html,349000,3,100.0,1.0,2.0
6,https://www.immobiliare.it/69489650-Vendita-Quadrilocale-via-Alessandro-Fleming-Roma.html,1350000,4,200.0,2.0,2.0
7,https://www.immobiliare.it/65915711-Vendita-Appartamento-via-del-Giuba-Roma.html,1700000,6,460.0,3.5,0.0
8,https://www.immobiliare.it/66712707-Vendita-Quadrilocale-Circonvallazione-Tuscolana-140-Roma.html,690000,4,127.0,2.0,1.0
9,https://www.immobiliare.it/69206492-Vendita-Trilocale-via-Pietro-Rovetti-166-Roma.html,165000,3,60.0,1.0,12.0
10,https://www.immobiliare.it/66813545-Vendita-Appartamento-via-di-San-Bartolomeo-de-Roma.html,1100000,6,154.0,1.0,3.0
11,https://www.immobiliare.it/68683483-Vendita-Appartamento-viale-dell-Aeronautica-Roma.html,1100000,6,250.0,3.5,1.0
12,https://www.immobiliare.it/68153189-Vendita-Appartamento-piazza-Camillo-Benso-di-Cavour-Roma.html,549000,5,85.0,2.0,2.0
13,https://www.immobiliare.it/66650211-Vendita-Appartamento-via-dei-Colli-della-Roma.html,1070000,6,230.0,3.5,1.0
14,https://www.immobiliare.it/69292298-Vendita-Appartamento-via-della-Farnesina-323-Roma.html,1800000,6,250.0,3.5,3.0
15,https://www.immobiliare.it/69566282-Vendita-Attico-Mansarda-via-Bevagna-Roma.html,800000,3,125.0,2.0,5.0
16,https://www.immobiliare.it/69489816-Vendita-Appartamento-via-degli-Spagnoli-Roma.html,795000,5,115.0,1.0,2.0
17,https://www.immobiliare.it/69192522-Vendita-Quadrilocale-via-Aosta-45-Roma.html,450000,4,134.0,1.0,12.0
18,https://www.immobiliare.it/69041486-Vendita-Appartamento-via-Massimi-Roma.html,1570000,6,260.0,3.5,0.5
20,https://www.immobiliare.it/69377992-Vendita-Quadrilocale-via-Mattia-Battistini-Roma.html,449000,4,120.0,2.0,4.0
21,https://www.immobiliare.it/67738567-Vendita-Attico-Mansarda-via-degli-Armenti-70-Roma.html,189000,4,110.0,2.0,12.0
22,https://www.immobiliare.it/70266408-Vendita-Appartamento-via-Dei-Monti-Parioli-Roma.html,930000,6,150.0,2.0,3.0
23,https://www.immobiliare.it/69778886-Vendita-Trilocale-via-Trionfale-6870-Roma.html,239000,3,87.0,1.0,-1.0
24,https://www.immobiliare.it/69583480-Vendita-Bilocale-via-di-Vermicino-139-Roma.html,119000,2,65.0,1.0,1.0
25,https://www.immobiliare.it/68373749-Vendita-Appartamento-via-dei-Gandolfi-Roma.html,800000,6,220.0,3.0,4.0
26,https://www.immobiliare.it/70494490-Vendita-Attico-Mansarda-via-Gioia-Tauro-Roma.html,89000,3,50.0,1.0,12.0
27,https://www.immobiliare.it/69826494-Vendita-Appartamento-viale-dell-Oceano-Atlantico-Roma.html,579000,5,160.0,2.0,2.0
28,https://www.immobiliare.it/68632829-Vendita-Trilocale-via-Foligno-14-Roma.html,385000,3,100.0,3.0,2.0
