,Unnamed: 0,url,price,locali,superficie,bagni,piano
0,1,https://www.immobiliare.it/53131931-Vendita-Bilocale-viale-Italo-Calvino-Roma.html,225.000,2 ,50.0,1 ,1
1,2,https://www.immobiliare.it/70479086-Vendita-Trilocale-via-Ignazio-Scimonelli-130-Roma.html,189.000,3 ,79.0,1 ,1
2,3,https://www.immobiliare.it/68601391-Vendita-Attico-Mansarda-via-Nicolo-Piccolomini-Roma.html,1.650.000,5+ ,220.0,3 ,4
3,4,https://www.immobiliare.it/67242549-Vendita-Appartamento-via-Luigi-Ungarelli-Roma.html,1.050.000,5+ ,290.0,2 ,R
4,5,https://www.immobiliare.it/65564714-Vendita-Appartamento-via-Delle-Isole-Roma.html,1.250.000,5 ,185.0,3 ,T
5,6,https://www.immobiliare.it/70147844-Vendita-Trilocale-via-Mortara-5-Roma.html,349.000,3 ,100.0,1 ,2
6,7,https://www.immobiliare.it/69489650-Vendita-Quadrilocale-via-Alessandro-Fleming-Roma.html,1.350.000,4 ,200.0,2 ,2
7,8,https://www.immobiliare.it/65915711-Vendita-Appartamento-via-del-Giuba-Roma.html,1.700.000,5+ ,460.0,3+ ,T
8,9,https://www.immobiliare.it/66712707-Vendita-Quadrilocale-Circonvallazione-Tuscolana-140-Roma.html,690.000,4 ,127.0,2 ,1
9,10,https://www.immobiliare.it/69206492-Vendita-Trilocale-via-Pietro-Rovetti-166-Roma.html,165.000,3 ,60.0,1 ,A
10,11,https://www.immobiliare.it/66813545-Vendita-Appartamento-via-di-San-Bartolomeo-de-Roma.html,1.100.000,5+ ,154.0,1 ,3
11,12,https://www.immobiliare.it/68683483-Vendita-Appartamento-viale-dell-Aeronautica-Roma.html,1.100.000,5+ ,250.0,3+ ,1
12,13,https://www.immobiliare.it/68153189-Vendita-Appartamento-piazza-Camillo-Benso-di-Cavour-Roma.html,549.000,5 ,85.0,2 ,2
13,14,https://www.immobiliare.it/66650211-Vendita-Appartamento-via-dei-Colli-della-Roma.html,1.070.000,5+ ,230.0,3+ ,1
14,15,https://www.immobiliare.it/69292298-Vendita-Appartamento-via-della-Farnesina-323-Roma.html,1.800.000,5+ ,250.0,3+ ,3
15,16,https://www.immobiliare.it/69566282-Vendita-Attico-Mansarda-via-Bevagna-Roma.html,800.000,3 ,125.0,2 ,5
16,17,https://www.immobiliare.it/69489816-Vendita-Appartamento-via-degli-Spagnoli-Roma.html,795.000,5 ,115.0,1 ,2
17,18,https://www.immobiliare.it/69192522-Vendita-Quadrilocale-via-Aosta-45-Roma.html,450.000,4 ,134.0,1 ,A
18,19,https://www.immobiliare.it/69041486-Vendita-Appartamento-via-Massimi-Roma.html,1.570.000,5+ ,260.0,3+ ,R
20,21,https://www.immobiliare.it/69377992-Vendita-Quadrilocale-via-Mattia-Battistini-Roma.html,449.000,4 ,120.0,2 ,4
21,22,https://www.immobiliare.it/67738567-Vendita-Attico-Mansarda-via-degli-Armenti-70-Roma.html,189.000,4 ,110.0,2 ,A
22,23,https://www.immobiliare.it/70266408-Vendita-Appartamento-via-Dei-Monti-Parioli-Roma.html,930.000,5+ ,150.0,2 ,3
23,24,https://www.immobiliare.it/69778886-Vendita-Trilocale-via-Trionfale-6870-Roma.html,239.000,3 ,87.0,1 ,S
24,25,https://www.immobiliare.it/69583480-Vendita-Bilocale-via-di-Vermicino-139-Roma.html,119.000,2 ,65.0,1 ,1
25,26,https://www.immobiliare.it/68373749-Vendita-Appartamento-via-dei-Gandolfi-Roma.html,800.000,5+ ,220.0,3 ,4
26,27,https://www.immobiliare.it/70494490-Vendita-Attico-Mansarda-via-Gioia-Tauro-Roma.html,89.000,3 ,50.0,1 ,A
27,28,https://www.immobiliare.it/69826494-Vendita-Appartamento-viale-dell-Oceano-Atlantico-Roma.html,579.000,5 ,160.0,2 ,2
28,29,https://www.immobiliare.it/68632829-Vendita-Trilocale-via-Foligno-14-Roma.html,385.000,3 ,100.0,3 ,2
29,30,https://www.immobiliare.it/70343364-Vendita-Trilocale-viale-della-Venezia-Giulia-50-Roma.html,279.000,3 ,120.0,1 ,5
30,31,https://www.immobiliare.it/70114842-Vendita-Attico-Mansarda-via-Degli-Orti-Di-Galba-Roma.html,850.000,5 ,175.0,2 ,A
31,32,https://www.immobiliare.it/69668334-Vendita-Quadrilocale-via-di-montemignaio-Roma.html,650.000,4 ,130.0,2 ,1
32,33,https://www.immobiliare.it/69592474-Vendita-Appartamento-via-Della-Farnesina-Roma.html,1.600.000,5+ ,340.0,3+ ,2
33,34,https://www.immobiliare.it/69686894-Vendita-Bilocale-via-Gaetano-Fuggetta-Roma.html,139.000€,2 ,60.0,1 ,T
34,35,https://www.immobiliare.it/68926129-Vendita-Appartamento-via-Edoardo-Jenner-163-Roma.html,695.000,5+ ,250.0,3 ,3
35,36,https://www.immobiliare.it/69518256-Vendita-Trilocale-via-Angelo-Emo-25-Roma.html,320.000,3 ,76.0,1 ,3
36,37,https://www.immobiliare.it/67715597-Vendita-Appartamento-via-Alberto-Caroncini-Roma.html,850.000,5+ ,183.0,2 ,2
37,38,https://www.immobiliare.it/70177030-Vendita-Appartamento-via-Salvatore-Quasimodo-113-Roma.html,450.000,5 ,150.0,2 ,3
38,39,https://www.immobiliare.it/67414483-Vendita-Appartamento-via-Di-Villa-Ada-Roma.html,1.650.000€,5+ ,340.0,3 ,4
39,40,https://www.immobiliare.it/68842493-Vendita-Appartamento-via-Nomentana-Roma.html,1.300.000,5 ,170.0,3 ,2
